Boid Count, Average, Minimum, Maximum
3640,94.26805,34.72994,100.322
3660,93.77666,67.64984,99.06287
3680,92.99158,39.10558,99.55598
3700,91.58398,39.00841,97.05157
3720,90.59958,66.72539,96.40691
3740,89.57269,66.57524,94.89827
3760,88.92677,38.68128,94.89467
3780,88.40305,65.76308,93.62857
3800,87.86629,66.16251,94.9848
3820,87.31939,38.27195,92.13873
3840,85.40405,64.3364,91.56586
3860,85.63803,64.53111,90.86036
3880,84.90362,37.31956,90.5051
3900,84.5425,63.67155,88.46348
3920,83.56967,37.45641,88.27139
3940,83.09037,37.59738,89.39986
3960,82.50021,62.0613,87.10574
3980,82.27982,37.64111,89.33278
4000,80.10124,60.25694,85.60764
4020,81.01885,62.16818,84.75797
4040,80.02274,32.54456,86.38786
4060,79.47276,60.45657,83.1124
4080,78.99925,36.08167,85.00293
4100,78.02078,32.05385,82.04724
4120,77.99358,59.76393,82.22399
4140,77.3278,34.89658,82.54503
4160,76.61054,59.58765,80.42852
4180,76.15902,35.88706,80.73892
4200,75.51465,58.71887,79.48367
4220,74.85172,58.31754,78.85813
4240,73.90592,35.6317,79.17657
4260,73.04456,55.4293,77.60059
4280,72.73286,35.07381,77.40777
4300,71.92751,56.36312,76.5902
4320,71.10276,34.12806,76.29162
4340,70.9894,54.38181,74.68651
4360,70.04137,34.45412,74.8279
4380,69.28426,53.47364,73.7893
4400,69.00462,54.52592,73.20161
4420,68.32248,53.91359,72.66544
4440,67.69789,52.88683,71.73602
4460,66.674,33.02248,71.13337
4480,66.57832,52.51521,70.1459
4500,65.50017,29.22951,70.67587
4520,65.33751,50.20988,68.74364
4540,64.71339,33.38787,68.91846
4560,64.36724,52.05568,67.85181
4580,63.75934,33.21332,68.65868
4600,63.59401,50.58195,66.69601
4620,63.04176,32.99568,66.90216
4640,62.84943,50.0095,66.055
4660,62.35835,28.84846,68.01703
4680,62.15007,50.33067,65.28651
4700,61.49075,32.34822,65.04361
4720,61.47593,48.20927,64.23598
4740,61.01349,49.63445,63.67723
4760,60.65905,47.46738,64.05616
4780,60.05028,46.6873,62.63074
4800,59.66309,31.33313,64.0927
4820,59.01702,47.59502,62.13071
4840,58.8699,28.30432,63.5538
4860,58.62696,48.04781,61.18416
4880,58.11022,27.59999,62.85592
4900,57.81743,46.72919,60.60753
4920,57.25538,30.92662,61.94558
4940,57.25269,46.91972,60.57852
4960,56.43827,30.97586,60.51254
4980,56.32015,46.18233,59.40782
5000,55.72776,45.24232,58.87409
5020,55.32272,45.9276,58.18893
5040,54.61367,45.18916,57.71906
5060,54.33098,29.68813,57.32038
5080,53.82277,44.95938,56.1309
5100,53.23446,29.65423,57.3628
5120,53.05011,43.69121,55.79205
5140,52.64399,43.46862,55.19983
5160,52.09279,42.70785,54.86848
5180,51.89263,43.30785,54.57919
5200,51.37912,26.03495,55.43299
5220,50.90364,42.28723,53.72676
5240,50.53448,42.3413,52.87508
5260,50.24854,41.92327,52.83876
5280,49.86525,41.54083,51.97667
5300,49.52407,25.36384,53.9258
5320,49.25826,41.27149,51.41758
5340,49.02929,40.54016,51.21718
5360,48.9433,40.60221,50.92532
5380,48.60787,40.75278,50.91961
5400,48.32011,25.2787,52.34232
5420,48.2582,40.42266,50.47548
5440,47.51356,38.86303,49.87208
5460,47.60787,39.18219,49.7879
5480,47.31581,39.72084,49.54272
5500,46.78609,24.87618,50.27779
5520,46.66534,39.43637,48.72653
5540,46.31864,39.32364,48.59394
5560,46.03836,23.20412,50.23182
5580,45.73537,39.14293,47.83751
5600,45.50777,37.24853,47.58687
5620,45.1378,38.01761,47.24045
5640,45.12631,37.6111,47.08009
5660,44.39547,26.50804,47.38236
5680,44.50241,37.64904,46.66639
5700,44.15756,37.99623,46.35897
5720,43.64335,24.31617,47.51994
5740,43.37095,36.61435,45.65189
5760,43.01958,36.8805,45.12086
5780,42.82224,26.11287,45.4746
5800,42.32855,36.20434,44.32801
5820,42.23729,35.51578,44.10921
5840,42.05982,26.17164,44.26052
5860,41.78737,35.16916,43.71623
5880,41.44555,35.87637,43.60434
5900,41.21009,35.61926,43.14175
5920,40.9141,35.46011,42.88643
5940,40.53279,34.38742,42.47547
5960,40.2304,34.89622,42.09055
5980,39.98174,33.58511,41.89973
6000,39.70918,34.65868,41.50962
6020,39.50399,34.63935,41.21043
6040,39.24856,33.09954,40.96027
6060,39.1785,34.07167,40.80683
6080,38.92703,33.88085,40.67157
6100,38.84718,34.01002,40.30893
6120,38.56479,33.30913,40.44375
6140,38.39636,24.56453,40.81816
6160,38.21826,32.58422,39.77978
6180,37.96038,32.75993,39.97346
6200,37.79227,23.97432,40.40061
6220,37.52517,32.97631,39.08342
6240,37.36832,32.65008,39.27097
6260,37.09509,21.83506,40.67289
6280,36.94,32.01424,38.51561
6300,36.80313,32.07791,38.26975
6320,36.42952,21.76089,38.78856
6340,36.37089,31.86906,37.93958
6360,36.21588,32.12501,37.86502
6380,35.89462,23.4608,37.53472
6400,35.81784,31.51274,37.26907
6420,35.64635,31.38742,36.9999
6440,35.22538,30.84992,36.8377
6460,35.04801,21.24229,38.01443
6480,34.81581,30.19543,36.53195
6500,34.63021,30.06289,36.22887
6520,34.24941,23.03606,36.45856
6540,34.12956,29.5189,35.6566
6560,33.83444,29.68372,35.36768
6580,33.83432,29.59131,35.04444
6600,33.55863,22.82641,35.67339
6620,33.26435,29.4199,34.82452
6640,33.02541,28.44003,34.76242
6660,32.76379,20.26753,35.07529
6680,32.69846,29.00535,34.05856
6700,32.50607,29.0457,34.01314
6720,32.34045,28.70429,33.60712
6740,32.24546,19.78376,34.64379
6760,32.01515,27.76521,33.28629
6780,31.97345,28.76481,33.22182
6800,31.68029,19.53373,33.33644
6820,31.70044,28.28686,32.82595
6840,31.53084,28.1953,32.88889
6860,31.40377,28.02321,32.56353
6880,31.18964,20.18925,33.51195
6900,31.04174,27.71373,32.43268
6920,30.8844,27.11151,32.36235
6940,30.71975,27.53099,31.86916
6960,30.57116,21.61447,32.40451
6980,30.37799,26.90906,31.82615
7000,30.20881,27.01775,31.47812
7020,30.04983,26.69564,31.35258
7040,29.96147,25.71983,31.13616
7060,29.72992,26.03082,31.08177
7080,29.61646,26.04662,30.83156
7100,29.42044,18.87711,31.89813
7120,29.30716,26.58295,30.46755
7140,29.2252,26.19598,30.49106
7160,28.98285,25.7627,30.27569
7180,28.74684,20.67461,30.13691
7200,28.61189,25.82818,29.92811
7220,28.52359,24.97565,29.84291
7240,28.32632,25.50155,29.51829
7260,28.12996,17.97817,29.58667
7280,28.02673,25.15698,29.12081
7300,27.91756,25.01007,29.02336
7320,27.63732,24.19409,28.93728
7340,27.53228,18.20635,29.73978
7360,27.45728,24.8627,28.58654
7380,27.27016,24.29443,28.3511
7400,27.19465,24.8118,28.37491
7420,27.05246,24.66049,27.95654
7440,26.8846,24.32374,27.97641
7460,26.71869,22.70472,27.92017
7480,26.53999,23.9227,27.63179
7500,26.49053,23.84558,27.65762
7520,26.27308,17.45128,28.02337
7540,26.23746,23.71444,27.23556
7560,26.14329,23.58485,27.20489
7580,26.01461,23.82546,27.19646
7600,25.86164,18.98326,27.212
7620,25.77196,23.43809,26.8254
7640,25.67309,21.67312,26.71932
7660,25.48094,22.20396,26.68994
7680,25.33259,18.52486,26.48298
7700,25.24739,23.21069,26.41645
7720,25.1307,22.69962,26.19996
7740,25.04538,22.93862,26.0899
7760,24.94498,22.82646,25.83398
